COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG0616	1	1	1	1	0	1	0.999279	0	0.996959	0	0.987929	0	0.00232077	0.0113501	4.2603	0.9006	0.9375
COG0620	1	1	1	1	0	1	0.994355	0	0.975539	0	0.899679	0	0.0188166	0.0946761	2.5156	0.803236	0.96875
COG0626	1	1	1	1	0	1	0.999911	0	0.999723	0	0.999202	0	0.000187695	0.000709474	6.63738	0.97508	1
COG0649	1	1	1	1	0	1	0.986569	0	0.972542	0	0.947638	0	0.0140267	0.0389303	2.83778	0.875579	0.90625
COG0657	1	1	1	1	0	1	0.994501	0	0.974948	0	0.898585	0	0.0195533	0.0959158	1.53673	0.864831	0.90625
COG0659	1	1	1	1	0	1	0.987273	0	0.947038	0	0.804731	0	0.0402346	0.182541	1.30896	0.876644	0.9375
COG0667	1	1	1	1	0	1	0.999393	0	0.997664	0	0.991414	0	0.00172931	0.00797927	3.97073	0.970883	1
COG0680	1	1	1	1	0	1	0.948265	0	0.867729	0	0.62994	0	0.0805361	0.318326	1.11273	0.760185	0.8125
COG0693	1	1	1	1	0	1	0.994205	0	0.976966	0	0.910883	0	0.0172393	0.083322	1.84882	0.889103	0.96875
COG0694	1	1	1	0	1	0	0.937843	0	0.737239	0	0.352764	0	0.200604	0.585078	-0.296399	0.704532	0.6875
COG0699	1	1	1	1	0	1	0.923444	0	0.674054	0	0.268512	0	0.24939	0.654932	-0.339341	0.522584	0.4375
COG0701	1	1	1	1	0	1	0.934325	0	0.764596	0	0.452792	0	0.169729	0.481532	0.439651	0.627003	0.5625
COG0704	1	1	1	1	0	1	0.995488	0	0.988777	0	0.971016	0	0.00671041	0.0244718	2.74662	0.942489	1
COG0705	1	1	1	1	0	1	0.99954	0	0.998566	0	0.995873	0	0.00097394	0.00366682	4.8261	0.967642	1
COG0707	1	1	1	1	0	1	0.996659	0	0.995372	0	0.993755	0	0.00128692	0.00290328	2.75041	0.98718	1
COG0721	1	1	1	0	1	0	0.985438	0	0.960659	0	0.88948	0	0.024779	0.0959583	0.926709	0.949775	1
COG0722	1	1	1	1	0	1	0.994316	0	0.971449	0	0.877942	0	0.0228668	0.116374	2.57317	0.680112	0.65625
COG0723	1	1	1	0	1	0	0.99254	0	0.969408	0	0.883952	0	0.0231318	0.108587	2.03107	0.856933	0.9375
COG0733	1	1	1	0	1	0	0.466702	0	0.142648	0	0.0296384	0	0.324054	0.437063	-2.78061	0.47726	0.59375
COG0744	1	1	1	1	0	1	0.999506	0	0.998423	0	0.995447	0	0.00108337	0.00405931	4.28389	0.987265	1
