COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG1736	0.0000	0.0029	0.0036	0.0023	0.0029	0.0035	0.0070	0.0027	0.0049	0.0026	0.0043
COG1737	0.5611	0.2072	0.2685	0.8064	0.1688	0.5223	0.2581	0.3483	0.2793	0.3200	0.2589
COG1738	0.9917	0.0869	0.1196	0.1485	0.2208	0.0541	0.0849	0.0705	0.1125	0.1817	0.1880
COG1739	0.9867	0.1156	0.2307	0.1372	0.1981	0.1507	0.2913	0.1412	0.2681	0.2102	0.2568
COG1740	0.2488	0.7799	0.1383	0.9573	0.0645	0.8885	0.0843	0.9044	0.0561	0.8912	0.0573
COG1741	0.9996	0.2495	0.3038	0.4599	0.3560	0.2843	0.3136	0.2038	0.3012	0.1937	0.3013
COG1742	0.0000	0.0548	0.0607	0.2264	0.1383	0.1874	0.1499	0.0740	0.1194	0.0557	0.1126
COG1743	0.9894	0.9222	0.0642	0.9883	0.0054	0.9673	0.0258	0.9683	0.0261	0.8965	0.0633
COG1744	0.9776	0.9364	0.1097	0.9997	0.0005	0.9977	0.0066	0.9977	0.0052	0.9975	0.0049
COG1745	0.0000	0.0014	0.0008	0.0030	0.0025	0.0015	0.0011	0.0010	0.0006	0.0009	0.0005
COG1746	0.0000	0.0614	0.0269	0.1450	0.0755	0.0938	0.0372	0.0614	0.0357	0.0560	0.0358
COG1747	0.8652	0.3944	0.2201	0.1686	0.2038	0.3254	0.2646	0.3176	0.2560	0.4327	0.2382
COG1748	0.9996	0.5344	0.2228	0.5994	0.2597	0.4705	0.2706	0.3409	0.2562	0.3717	0.2609
COG1749	1.0000	0.9990	0.0006	0.9988	0.0010	0.9986	0.0011	0.9992	0.0006	0.9992	0.0006
COG1750	0.0000	0.1283	0.0317	0.2780	0.1031	0.1134	0.0405	0.0913	0.0378	0.0889	0.0333
COG1751	0.0038	0.9045	0.0614	0.9737	0.0321	0.7585	0.2001	0.6202	0.1218	0.4874	0.0957
COG1752	1.0000	0.9940	0.0046	0.9999	0.0001	0.9946	0.0072	0.9855	0.0135	0.9921	0.0065
COG1753	0.0000	0.0037	0.0015	0.0098	0.0057	0.0044	0.0024	0.0026	0.0012	0.0020	0.0007
