COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0211	1	1	1	0.998716	0.00323947	0.993984	0.0161213	0.979006	0.0582603	0.00473285	0.0197107	1.68909	0.992479	1	0.994924
COG0212	0.9998	1	1	0.353465	0.165277	0.206385	0.148494	0.113464	0.137517	0.14708	0.240001	-2.88388	0.669766	0.709375	0.111452
COG0213	1	1	1	0.9919	0.0183274	0.981057	0.0230286	0.962993	0.0328107	0.0108424	0.0289062	3.29675	0.960995	1	0.053932
COG0214	0.7418	1	1	0.875044	0.231935	0.817403	0.2967	0.731766	0.317802	0.057641	0.143278	2.01196	0.758199	0.81875	0.0261522
COG0215	1	1	1	0.999814	0.000197346	0.998944	0.00107354	0.995266	0.004526	0.000870228	0.00454789	2.34916	0.996776	1	0.997973
COG0216	1	1	1	0.999771	0.000247452	0.99881	0.00187563	0.994282	0.011956	0.000961423	0.00548869	2.72338	0.996171	1	0.995888
COG0217	1	1	1	0.991123	0.015322	0.980804	0.0209714	0.943353	0.0806093	0.0103192	0.0477701	0.558948	0.991419	1	0.996146
COG0218	1	1	1	0.272226	0.278789	0.143345	0.161777	0.0689108	0.0872204	0.128881	0.203315	-3.17629	0.770262	0.81875	0.0191931
COG0219	1	1	1	0.0437862	0.114185	0.0127028	0.0315478	0.00301424	0.00650918	0.0310834	0.040772	-6.27994	0.558802	0.575	0.00258005
COG0220	1	1	1	0.0634997	0.175968	0.0255962	0.0715238	0.0065312	0.0174529	0.0379034	0.0569685	-5.89356	0.830667	0.909375	0.0136572
COG0221	0.995	1	1	0.0885046	0.109296	0.0376739	0.0415237	0.0121698	0.0113447	0.0508307	0.0763349	-4.55124	0.642641	0.621875	0.00566442
COG0222	1	1	1	0.999558	0.000499899	0.997594	0.00350668	0.989192	0.0214761	0.00196373	0.0103657	2.81974	0.98959	1	0.998898
COG0223	1	1	1	0.999319	0.000910858	0.997137	0.00557901	0.98968	0.0244458	0.0021823	0.00963891	2.09721	0.994016	1	0.995193
