COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG4095	1	1	1	1	0	1	0.439311	0	0.129124	0	0.0242111	0	0.310187	0.4151	-1.60513	0.289633	0.28125
COG4218	1	1	1	1	0	1	2.22027e-05	0	3.45707e-06	0	5.96046e-07	0	1.87457e-05	2.16067e-05	-7.64653	0.000750204	0
COG4223	1	1	1	0	1	0	0.459969	0	0.173695	0	0.0569983	0	0.286274	0.402971	-1.50657	0.222889	0.15625
COG4226	1	1	1	0	1	0	0.143561	0	0.0577405	0	0.0249794	0	0.0858201	0.118581	-2.01747	0.0815538	0
COG4587	1	1	1	0	1	0	0.313689	0	0.153181	0	0.0454491	0	0.160509	0.26824	-1.42664	0.241708	0.125
COG4635	1	1	1	0	1	0	0.883431	0	0.61902	0	0.308885	0	0.264412	0.574546	1.05194	0.536851	0.53125
COG4765	1	1	1	0	1	0	0.0100775	0	0.00312948	0	0.000929713	0	0.00694799	0.00914776	-5.02209	0.00270795	0
COG4770	1	1	1	0	1	0	0.980396	0	0.911188	0	0.725642	0	0.069208	0.254754	0.78606	0.805397	0.8125
COG4921	1	1	1	1	0	1	5.70714e-05	0	8.16584e-06	0	1.3113e-06	0	4.89056e-05	5.57601e-05	-5.17595	0.000528905	0
COG4922	1	1	1	0	1	0	0.540828	0	0.241285	0	0.0876063	0	0.299543	0.453222	-0.076135	0.157709	0.03125
COG4976	1	1	1	0	1	0	0.793519	0	0.432915	0	0.153828	0	0.360604	0.639691	-0.364824	0.417565	0.5625
COG4986	1	1	1	0	1	0	0.17988	0	0.0536423	0	0.0148604	0	0.126237	0.165019	-1.58672	0.165266	0.0625
COG5000	1	1	1	0	1	0	0.94685	0	0.784081	0	0.351055	0	0.162769	0.595796	-0.470216	0.515186	0.46875
COG5001	1	1	1	0	1	0	0.934907	0	0.784876	0	0.558385	0	0.150031	0.376522	0.0553558	0.56077	0.46875
COG5002	1	1	1	0	1	0	0.997786	0	0.993355	0	0.980588	0	0.00443137	0.0171986	2.25931	0.879921	0.9375
COG5341	1	1	1	0	1	0	0.287999	0	0.0756491	0	0.02114	0	0.21235	0.266859	-2.32091	0.220988	0.1875
COG5373	1	1	1	0	1	0	0.618896	0	0.277055	0	0.0899143	0	0.341841	0.528982	-1.19881	0.244247	0.1875
COG5506	1	1	1	0	1	0	0.00154778	0	0.000539899	0	0.000215918	0	0.00100788	0.00133187	-4.86589	0.000549804	0
COG5581	1	1	1	0	1	0	0.0934539	0	0.0365835	0	0.0112444	0	0.0568705	0.0822095	-2.79053	0.0295917	0
